year,majority,president,congress_election,president_election,
1945,D,D,0,0,
1946,D,D,0,0,
1947,R,D,1,0,
1948,R,D,0,1,
1949,D,D,1,0,
1950,D,D,0,0,
1951,D,D,1,0,
1952,D,R,0,1,
1953,R,R,1,0,
1954,R,R,0,0,
1955,D,R,1,0,
1956,D,R,0,1,
1957,D,R,1,0,
1958,D,R,0,0,
1959,D,R,1,0,
1960,D,D,0,1,
1961,D,D,1,0,
1962,D,D,0,0,
1963,D,D,1,0,
1964,D,D,0,1,
1965,D,D,1,0,
1966,D,D,0,0,
1967,D,D,1,0,
1968,D,R,0,1,
1969,D,R,1,0,
1970,D,R,0,0,
1971,D,R,1,0,
1972,D,R,0,1,
1973,D,R,1,0,
1974,D,R,0,0,
1975,D,R,1,0,
1976,D,D,0,1,
1977,D,D,1,0,
1978,D,D,0,0,
1979,D,D,1,0,
1980,D,R,0,1,
1981,D,R,1,0,
1982,D,R,0,0,
1983,D,R,1,0,
1984,D,R,0,1,
1985,D,R,1,0,
1986,D,R,0,0,
1987,D,R,1,0,
1988,D,R,0,1,
1989,D,R,1,0,
1990,D,R,0,0,
1991,D,R,1,0,
1992,D,D,0,1,
1993,D,D,1,0,
1994,D,D,0,0,
1995,R,D,1,0,
1996,R,D,0,1,
1997,R,D,1,0,
1998,R,D,0,0,
1999,R,D,1,0,
2000,R,R,0,1,
2001,R,R,1,0,
2002,R,R,0,0,
2003,R,R,1,0,
2004,R,R,0,1,
2005,R,R,1,0,
2006,R,R,0,0,
2007,D,R,1,0,
2008,D,D,0,1,
2009,D,D,1,0,
2010,D,D,0,0,
2011,R,D,1,0,
2012,R,D,0,1,
2013,R,D,1,0,
2014,R,D,0,0,
2020,D,D,0,1,